nomor_registrasi,nama_produk,komposisi,list_zat_aktif,primary_drug_category,all_drug_categories,matched
DKI2467900167A1,ANORO ELLIPTA,UMECLIDINIUM BROMIDE. VILANTEROL TRIFENATATE,['UMECLIDINIUM BROMIDE. VILANTEROL TRIFENATATE'],UNKNOWN,,0
DBL2003605033A1,ANTALAM,DRIED ALUMINIUM HYDROXIDE GEL | MAGNESIUM HYDROXIDE,"['DRIED ALUMINIUM HYDROXIDE GEL', 'MAGNESIUM HYDROXIDE']",UNKNOWN,,0
GBL9323403333A1,ANTASIDA,MAGNESIUM HYDROXIDE. DRIED ALUMINIUM HYDROXIDE GEL,['MAGNESIUM HYDROXIDE. DRIED ALUMINIUM HYDROXIDE GEL'],UNKNOWN,,0
GBL0106305463A2,ANTASIDA DOEN,DRIED ALUMINIUM HYDROXIDE GEL. MAGNESIUM HYDROXIDE,['DRIED ALUMINIUM HYDROXIDE GEL. MAGNESIUM HYDROXIDE'],UNKNOWN,,0
GBL1944400833A1,ANTASIDA DOEN,MAGNESIUM ALUMINUM HYDROXIDE,[],UNKNOWN,,0
GKL1732302453A1,ANTIHEMOROID,ZINC OXIDE. LIDOCAINE HYDROCHLORIDE. BISMUTH SUBGALLATE. HEXACHLOROPHENE,['ZINC OXIDE. LIDOCAINE HYDROCHLORIDE. BISMUTH SUBGALLATE. HEXACHLOROPHENE'],UNKNOWN,,0
DTL7219929710A1,ANTIMO,DIMENHYDRINATE,['DIMENHYDRINATE'],UNKNOWN,,0
DKL2102907843A1,ANTITEN-A,ENOXAPARIN SODIUM,['ENOXAPARIN SODIUM'],antikoagulan,antikoagulan,1
DKL9905028916A1,ANVOMER B6,PYRATHIAZINE THEOCLATE. PYRIDOXINE HYDROCHLORIDE,['PYRATHIAZINE THEOCLATE. PYRIDOXINE HYDROCHLORIDE'],UNKNOWN,,0
DKI2518605817A1,APALUMAX,APALUTAMIDE,['APALUTAMIDE'],UNKNOWN,,0
DKI0559201843A1,APIDRA,INSULIN GLULISINE,['INSULIN GLULISINE'],antidiabetes,antidiabetes,1
DKL2531552917A1,APIFAR,APIXABAN,['APIXABAN'],antikoagulan,antikoagulan,1
DPL9031800414A1,APISATE,AMFEPRAMONE HYDROCHLORIDE,['AMFEPRAMONE HYDROCHLORIDE'],UNKNOWN,,0
DKL8705502729A1,APOLAR,DESONIDE,['DESONIDE'],kortikosteroid,kortikosteroid,1
DKI0585600517A1,ARAVA,LEFLUNOMIDE,[],UNKNOWN,,0
DKL1704525616A1,ARCALION,SULBUTIAMINE,['SULBUTIAMINE'],UNKNOWN,,0
DBL9315607738A1,ARCAPEC,ATTAPULGITE. PECTIN,['ATTAPULGITE. PECTIN'],UNKNOWN,,0
DKI2476704144A1,AREXVY,RECOMBINANT RESPIRATORY SYNCYTIAL VIRUS PRE-FUSION F PROTEIN,['RECOMBINANT RESPIRATORY SYNCYTIAL VIRUS PRE-FUSION F PROTEIN'],UNKNOWN,,0
DKI2510800844A1,ARGESUN,ARTESUNATE,['ARTESUNATE'],UNKNOWN,,0
DKI0254200316A1,AROMASIN,EXEMESTANE,['EXEMESTANE'],UNKNOWN,,0
DKL8315603709A1,ARSINAL,METAMIZOLE SODIUM MONOHYDRATE. THIAMINE MONONITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN. DL-ALPHA-TOCOPHERYL ACETATE,['METAMIZOLE SODIUM MONOHYDRATE. THIAMINE MONONITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN. DL-ALPHA-TOCOPHERYL ACETATE'],UNKNOWN,,0
DKI1111500243A1,ARTEM,ARTEMETHER,['ARTEMETHER'],UNKNOWN,,0
DTL2101604810A1,ARTOHEXINE,BROMHEXINE HYDROCHLORIDE. GUAIFENESIN,['BROMHEXINE HYDROCHLORIDE. GUAIFENESIN'],UNKNOWN,,0
GKL2633220643A1,ASCORBIC ACID,ASCORBIC ACID,['ASCORBIC ACID'],UNKNOWN,,0
DKL9918705449A1,ASERING,SODIUM ACETATE TRIHYDRATE. CALCIUM CHLORIDE DIHYDRATE. POTASSIUM CHLORIDE. SODIUM CHLORIDE,['SODIUM ACETATE TRIHYDRATE. CALCIUM CHLORIDE DIHYDRATE. POTASSIUM CHLORIDE. SODIUM CHLORIDE'],UNKNOWN,,0
DKL9918705449A2,ASERING,CALCIUM CHLORIDE DIHYDRATE. POTASSIUM CHLORIDE. SODIUM ACETATE TRIHYDRATE. SODIUM CHLORIDE,['CALCIUM CHLORIDE DIHYDRATE. POTASSIUM CHLORIDE. SODIUM ACETATE TRIHYDRATE. SODIUM CHLORIDE'],UNKNOWN,,0
DKL9918705549A1,ASERING-5,CALCIUM CHLORIDE DIHYDRATE | DEXTROSE MONOHYDRATE | POTASSIUM CHLORIDE | SODIUM ACETATE TRIHYDRATE | SODIUM CHLORIDE,"['CALCIUM CHLORIDE DIHYDRATE', 'DEXTROSE MONOHYDRATE', 'POTASSIUM CHLORIDE', 'SODIUM ACETATE TRIHYDRATE', 'SODIUM CHLORIDE']",UNKNOWN,,0
DTL7613003210A1,ASKAMEX,LEVAMISOLE HYDROCHLORIDE,['LEVAMISOLE HYDROCHLORIDE'],UNKNOWN,,0
DKI2558000444A1,ASPALSA,L-ASPARAGINASE,['L-ASPARAGINASE'],UNKNOWN,,0
