backend_drug_id,nama_produk,komposisi_normalized,drug_category,all_drug_categories,golongan_obat,perlu_resep,bentuk_sediaan,rute_penggunaan_hint,status_masa_berlaku,category_count,all_categories_supported
DKI0667504636A1,CATAFLAM,DICLOFENAC RESINATE,nsaid,nsaid,Obat Keras,1,DROPS,oral,aktif,1,1
DKL9930408481A1,CATAFLAM D,DICLOFENAC,nsaid,nsaid,Obat Keras,1,TABLET DISPERSIBLE,oral,aktif,1,1
DKL1809225237A1,CELESTAR,DEXCHLORPHENIRAMINE MALEATE. BETAMETHASONE,kortikosteroid,kortikosteroid,Obat Keras,1,SIRUP,oral,aktif,1,1
DKL7603814831A1,CENDO CETAPRED,SULFACETAMIDE SODIUM. PREDNISOLONE SODIUM PHOSPHATE,kortikosteroid,kortikosteroid,Obat Keras,1,"SALEP MATA; 100,00 MG /3,50 MG",mata,aktif,1,1
DKL7803810846A1,CENDO GENTASON,GENTAMICIN SULFATE. DEXAMETHASONE SODIUM PHOSPHATE,kortikosteroid,kortikosteroid,Obat Keras,1,TETES MATA; 5 MG /1 MG,mata,aktif,1,1
DKL7803811431A1,CENDO XITROL,DEXAMETHASONE. NEOMYCIN SULFATE. POLYMYXIN B SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,"SALEP MATA; 1,00 MG /5,00 MG /10000 IU",mata,aktif,1,1
DKL7803811431A2,CENDO XITROL,DEXAMETHASONE | NEOMYCIN SULFATE | POLYMYXIN B SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,SALEP MATA,mata,aktif,1,1
DKI2284401035A1,CIPOL - N,CICLOSPORIN,imunosupresan,imunosupresan,Obat Keras,1,LARUTAN ORAL; 100 MG,oral,aktif,1,1
GKL0305033149A1,CIPROFLOXACIN,CIPROFLOXACIN,antibiotik_fluorokuinolon,antibiotik_fluorokuinolon,Obat Keras,1,INFUS,parenteral,aktif,1,1
GKL2306514409A1,CIPROFLOXACIN HYDROCHLORIDE,CIPROFLOXACIN HCL MONOHYDRATE,antibiotik_fluorokuinolon,antibiotik_fluorokuinolon,Obat Keras,1,KAPLET SALUT SELAPUT,oral,aktif,1,1
GKL1807122809A1,CIPROFLOXACIN HYDROCHLORIDE,CIPROFLOXACIN HYDROCHLORIDE,antibiotik_fluorokuinolon,antibiotik_fluorokuinolon,Obat Keras,1,KAPLET SALUT SELAPUT,oral,aktif,1,1
GKL2644412209A1,CIPROFLOXACIN HYDROCHLORIDE,CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE,antibiotik_fluorokuinolon,antibiotik_fluorokuinolon,Obat Keras,1,KAPLET SALUT SELAPUT,oral,aktif,1,1
GKL0808515349A2,CIPROFLOXACIN LACTATE,CIPROFLOXACIN LACTATE,antibiotik_fluorokuinolon,antibiotik_fluorokuinolon,Obat Keras,1,INFUS,parenteral,aktif,1,1
GKL1002342049A1,CIPROFLOXACIN LACTATE MONOHYDRATE,CIPROFLOXACIN LACTATE MONOHYDRATE,antibiotik_fluorokuinolon,antibiotik_fluorokuinolon,Obat Keras,1,INFUS,parenteral,aktif,1,1
DKL1633535814A1,CIVELL MR,CIPROFLOXACIN | CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE,antibiotik_fluorokuinolon,antibiotik_fluorokuinolon,Obat Keras,1,TABLET PELEPASAN LAMBAT,oral,aktif,1,1
DKI0267503217A1,CO-DIOVAN,HYDROCHLOROTHIAZIDE | VALSARTAN,ace_arb,ace_arb,Obat Keras,1,TABLET SALUT SELAPUT,oral,kedaluwarsa,1,1
DKI1077402817A1,COAPROVEL,HYDROCHLOROTHIAZIDE | IRBESARTAN,ace_arb,ace_arb,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKL9905029237A2,COLERGIS,BETAMETHASONE. DEXCHLORPHENIRAMINE MALEATE,kortikosteroid,kortikosteroid,Obat Keras,1,SIRUP,oral,aktif,1,1
LKE12116002,COMBIDERM,CLOTRIMAZOLE. BETAMETHASONE DIPROPIONATE. GENTAMICIN SULFATE,kortikosteroid,kortikosteroid,Khusus Ekspor,0,KRIM; 10 MG /0.5 MG /1.47 MG,topikal,kedaluwarsa,1,1
